@relation InstanceResultListener

@attribute Key_Dataset {german_credit}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.lazy.IBk,weka.classifiers.rules.DecisionTable,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {5995231201785697655,-3080186098777067172,2888557078165701326,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 85\nSize of the tree: 127\n','Number of leaves: 40\nSize of the tree: 60\n','Number of leaves: 84\nSize of the tree: 125\n','Number of leaves: 81\nSize of the tree: 111\n','Number of leaves: 67\nSize of the tree: 94\n','Number of leaves: 81\nSize of the tree: 118\n','Number of leaves: 114\nSize of the tree: 152\n','Number of leaves: 92\nSize of the tree: 127\n','Number of leaves: 66\nSize of the tree: 96\n','Number of leaves: 121\nSize of the tree: 164\n','Number of leaves: 96\nSize of the tree: 133\n','Number of leaves: 94\nSize of the tree: 130\n','Number of leaves: 109\nSize of the tree: 149\n','Number of leaves: 116\nSize of the tree: 165\n','Number of leaves: 98\nSize of the tree: 134\n','Number of leaves: 79\nSize of the tree: 113\n','Number of leaves: 91\nSize of the tree: 123\n','Number of leaves: 74\nSize of the tree: 103\n','Number of leaves: 82\nSize of the tree: 115\n','Number of leaves: 100\nSize of the tree: 143\n','Number of leaves: 86\nSize of the tree: 119\n','Number of leaves: 77\nSize of the tree: 115\n','Number of leaves: 88\nSize of the tree: 125\n','Number of leaves: 68\nSize of the tree: 100\n','Number of leaves: 93\nSize of the tree: 135\n','Number of leaves: 88\nSize of the tree: 126\n','Number of leaves: 105\nSize of the tree: 141\n','Number of leaves: 96\nSize of the tree: 138\n','Number of leaves: 90\nSize of the tree: 132\n','Number of leaves: 101\nSize of the tree: 139\n','Number of leaves: 78\nSize of the tree: 111\n','Number of leaves: 87\nSize of the tree: 122\n','Number of leaves: 102\nSize of the tree: 146\n','Number of leaves: 76\nSize of the tree: 113\n','Number of leaves: 82\nSize of the tree: 114\n','Number of leaves: 135\nSize of the tree: 185\n','Number of leaves: 120\nSize of the tree: 165\n','Number of leaves: 91\nSize of the tree: 126\n','Number of leaves: 77\nSize of the tree: 106\n','Number of leaves: 105\nSize of the tree: 146\n','Number of leaves: 93\nSize of the tree: 133\n','Number of leaves: 95\nSize of the tree: 129\n','Number of leaves: 95\nSize of the tree: 135\n','Number of leaves: 100\nSize of the tree: 141\n','Number of leaves: 69\nSize of the tree: 100\n','Number of leaves: 80\nSize of the tree: 110\n','Number of leaves: 58\nSize of the tree: 80\n','Number of leaves: 113\nSize of the tree: 157\n','Number of leaves: 89\nSize of the tree: 123\n','Number of leaves: 91\nSize of the tree: 131\n','Number of leaves: 116\nSize of the tree: 160\n','Number of leaves: 95\nSize of the tree: 136\n','Number of leaves: 105\nSize of the tree: 150\n','Number of leaves: 71\nSize of the tree: 105\n','Number of leaves: 88\nSize of the tree: 117\n','Number of leaves: 102\nSize of the tree: 141\n','Number of leaves: 110\nSize of the tree: 154\n','Number of leaves: 79\nSize of the tree: 115\n','Number of leaves: 65\nSize of the tree: 94\n','Number of leaves: 80\nSize of the tree: 112\n','Number of leaves: 99\nSize of the tree: 134\n','Number of leaves: 85\nSize of the tree: 122\n','Number of leaves: 84\nSize of the tree: 121\n','Number of leaves: 92\nSize of the tree: 126\n','Number of leaves: 113\nSize of the tree: 162\n','Number of leaves: 64\nSize of the tree: 90\n','Number of leaves: 77\nSize of the tree: 112\n','Number of leaves: 87\nSize of the tree: 128\n','Number of leaves: 93\nSize of the tree: 131\n','Number of leaves: 83\nSize of the tree: 118\n','Number of leaves: 71\nSize of the tree: 104\n','Number of leaves: 92\nSize of the tree: 133\n','Number of leaves: 105\nSize of the tree: 145\n','Number of leaves: 109\nSize of the tree: 151\n','Number of leaves: 84\nSize of the tree: 113\n','Number of leaves: 79\nSize of the tree: 114\n','Number of leaves: 88\nSize of the tree: 129\n','Number of leaves: 61\nSize of the tree: 88\n','Number of leaves: 73\nSize of the tree: 110\n','Number of leaves: 96\nSize of the tree: 131\n','Number of leaves: 118\nSize of the tree: 172\n','Number of leaves: 97\nSize of the tree: 138\n','Number of leaves: 84\nSize of the tree: 115\n','Number of leaves: 116\nSize of the tree: 158\n','Number of leaves: 82\nSize of the tree: 119\n','Number of leaves: 98\nSize of the tree: 132\n','Number of leaves: 120\nSize of the tree: 166\n','Number of leaves: 88\nSize of the tree: 122\n','Number of leaves: 99\nSize of the tree: 136\n','Number of leaves: 95\nSize of the tree: 130\n','Number of leaves: 94\nSize of the tree: 128\n','Number of leaves: 84\nSize of the tree: 118\n','Number of leaves: 95\nSize of the tree: 134\n','Number of leaves: 75\nSize of the tree: 110\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

german_credit,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190117.1637,900,100,68,32,0,68,32,0,0.223301,0.342447,0.480305,81.50047,104.811002,88.129157,108.754619,-20.625462,0.881292,1.087546,-0.206255,12.505771,0.125058,14.190276,0.785714,55,0.566667,17,0.433333,13,0.214286,15,0.763889,0.785714,0.774648,0.223565,0.719524,0.877293,0.68,0.460952,0.539048,0.32,0.674008,0.68,0.676736,0.223565,0.719524,0.752906,0.611462,0.68,0.014,0.005,0.015625,0,15.625,0,8269,181623,24023,95,83,?,?,?,?
german_credit,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190117.1637,900,100,69,31,0,69,31,0,0.209184,0.330533,0.471064,78.665155,102.794568,88.129157,110.736112,-22.606955,0.881292,1.107361,-0.22607,15.040094,0.150401,17.065968,0.828571,58,0.633333,19,0.366667,11,0.171429,12,0.753247,0.828571,0.789116,0.212601,0.693333,0.845559,0.69,0.494762,0.505238,0.31,0.670751,0.69,0.676909,0.212601,0.693333,0.733174,0.602105,0.69,0.006,0.002,0,0.015625,0,15.625,8269,181623,24023,93,82.5,?,?,?,?
german_credit,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190117.1637,900,100,75,25,0,75,25,0,0.410377,0.292295,0.430141,69.564575,93.864336,88.129157,91.447968,-3.318811,0.881292,0.91448,-0.033188,24.559131,0.245591,27.867203,0.814286,57,0.4,12,0.6,18,0.185714,13,0.826087,0.814286,0.820144,0.410492,0.80381,0.916695,0.75,0.335714,0.664286,0.25,0.752454,0.75,0.75115,0.410492,0.80381,0.807539,0.705154,0.75,0.004,0.003,0,0.015625,0,15.625,8269,181623,24023,95,81.5,?,?,?,?
german_credit,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190117.1637,900,100,79,21,0,79,21,0,0.441489,0.280966,0.393663,66.868508,85.90425,88.129157,66.515758,21.613399,0.881292,0.665158,0.216134,28.126256,0.281263,31.914813,0.928571,65,0.533333,16,0.466667,14,0.071429,5,0.802469,0.928571,0.860927,0.461689,0.838571,0.93307,0.79,0.394762,0.605238,0.21,0.782781,0.79,0.774078,0.461689,0.838571,0.84589,0.716178,0.79,0.005,0.001,0,0,0,0,8269,181623,24023,100,85.5,?,?,?,?
german_credit,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190117.1637,900,100,77,23,0,77,23,0,0.375,0.293521,0.408107,69.856566,89.056251,88.129157,87.538106,0.591052,0.881292,0.875381,0.005911,25.080758,0.250808,28.459092,0.928571,65,0.6,18,0.4,12,0.071429,5,0.783133,0.928571,0.849673,0.400845,0.788095,0.87667,0.77,0.441429,0.558571,0.23,0.759957,0.77,0.747963,0.400845,0.788095,0.795717,0.680156,0.77,0.003,0.002,0,0,0,0,8269,181623,24023,97,86,?,?,?,?
german_credit,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190117.1637,900,100,75,25,0,75,25,0,0.362245,0.290449,0.416896,69.125368,90.974184,88.129157,77.662119,10.467039,0.881292,0.776621,0.10467,25.541516,0.255415,28.981913,0.871429,61,0.533333,16,0.466667,14,0.128571,9,0.792208,0.871429,0.829932,0.368162,0.81,0.916315,0.75,0.411905,0.588095,0.25,0.737154,0.75,0.739443,0.368162,0.81,0.83254,0.679117,0.75,0.004,0.001,0,0,0,0,8269,181623,24023,96,85.5,?,?,?,?
german_credit,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190117.1637,900,100,76,24,0,76,24,0,0.439252,0.296921,0.41422,70.665553,90.390171,88.129157,84.173351,3.955806,0.881292,0.841734,0.039558,24.485982,0.24486,27.784201,0.814286,57,0.366667,11,0.633333,19,0.185714,13,0.838235,0.814286,0.826087,0.439733,0.802381,0.907322,0.76,0.312381,0.687619,0.24,0.76489,0.76,0.762132,0.439733,0.802381,0.812941,0.719495,0.76,0.003,0.001,0,0,0,0,8269,181623,24023,97,87,?,?,?,?
german_credit,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190117.1637,900,100,74,26,0,74,26,0,0.343434,0.297751,0.427915,70.863266,93.37866,88.129157,90.508504,-2.379346,0.881292,0.905085,-0.023793,23.300254,0.233003,26.438757,0.857143,60,0.533333,16,0.466667,14,0.142857,10,0.789474,0.857143,0.821918,0.347446,0.75,0.862238,0.74,0.41619,0.58381,0.26,0.727632,0.74,0.730898,0.347446,0.75,0.781915,0.670218,0.74,0.003,0.001,0,0,0,0,8269,181623,24023,95,83.5,?,?,?,?
german_credit,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190117.1637,900,100,80,20,0,80,20,0,0.494949,0.263317,0.376399,62.667982,82.136914,88.129157,69.029642,19.099515,0.881292,0.690296,0.190995,33.450329,0.334503,37.95603,0.9,63,0.433333,13,0.566667,17,0.1,7,0.828947,0.9,0.863014,0.50073,0.837619,0.908647,0.8,0.333333,0.666667,0.2,0.792763,0.8,0.792998,0.50073,0.837619,0.841326,0.746322,0.8,0.002,0.001,0,0,0,0,8269,181623,24023,98,87,?,?,?,?
german_credit,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190117.1637,900,100,81,19,0,81,19,0,0.515306,0.248003,0.368071,59.023415,80.319674,88.129157,64.504373,23.624784,0.881292,0.645044,0.236248,36.22098,0.36221,41.099882,0.914286,64,0.433333,13,0.566667,17,0.085714,6,0.831169,0.914286,0.870748,0.523724,0.83381,0.89908,0.81,0.329048,0.670952,0.19,0.803557,0.81,0.801977,0.523724,0.83381,0.856573,0.756129,0.81,0.003,0.001,0.015625,0,15.625,0,8269,181623,24023,98,84.5,?,?,?,?
german_credit,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190117.1637,900,100,73,27,0,73,27,0,0.338235,0.303771,0.425486,72.295928,92.848704,88.129157,84.822454,3.306703,0.881292,0.848225,0.033067,22.431535,0.224315,25.453023,0.828571,58,0.5,15,0.5,15,0.171429,12,0.794521,0.828571,0.811189,0.339153,0.78619,0.89745,0.73,0.401429,0.598571,0.27,0.722831,0.73,0.725727,0.339153,0.78619,0.79303,0.668752,0.73,0.002,0.001,0,0,0,0,8269,181623,24023,96,85.5,?,?,?,?
german_credit,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190117.1637,900,100,77,23,0,77,23,0,0.425,0.283808,0.406613,67.544885,88.730082,88.129157,79.850089,8.279069,0.881292,0.798501,0.082791,27.197036,0.27197,30.860428,0.871429,61,0.466667,14,0.533333,16,0.128571,9,0.813333,0.871429,0.841379,0.42836,0.788095,0.879079,0.77,0.365238,0.634762,0.23,0.761333,0.77,0.763511,0.42836,0.788095,0.81548,0.711599,0.77,0.002,0.001,0.015625,0,15.625,0,8269,181623,24023,95,83,?,?,?,?
